"","X","designation","l","b","ra","dec","mag_j","dj_m","mag_h","dh_m","mag_ks","dks_m","mag3_6","d3_6m","mag4_5","d4_5m","ra_epoch2000","dec_epoch2000","errHalfMaj","errHalfMin","errPosAng","source_id","ra_x","ra_error","dec_x","dec_error","parallax","parallax_error","pmra","pmra_error","pmdec","pmdec_error","duplicated_source","phot_g_mean_flux","phot_g_mean_flux_error","phot_g_mean_mag","phot_bp_mean_flux","phot_bp_mean_flux_error","phot_bp_mean_mag","phot_rp_mean_flux","phot_rp_mean_flux_error","phot_rp_mean_mag","bp_rp","radial_velocity","radial_velocity_error","rv_nb_transits","teff_val","a_g_val","e_bp_min_rp_val","radius_val","lum_val","angDist"
"33",217,"SSTGLMC G189.8520+00.4649",189.852035,0.464992,92.297789,20.645018,15.208,0.041,14.281,0.039,13.859,0.035,13.331,0.056,13.002,0.025,92.2978037105273,20.6450253791223,0.007,0.006,90,3375219668973135872,92.2978006599,0.2273,20.6450134493,0.203,0.4666,0.2687,-0.663,0.428,-2.771,0.373,"false",686.813,28.9546,18.59627,316.128,32.591,19.10173,1078.23,104.666,17.180138,1.921593,NA,NA,0,NA,NA,NA,NA,NA,0.056228
"34",221,"SSTGLMC G189.8156+00.3435",189.815646,0.343556,92.165442,20.618002,15.337,0.046,14.328,0.038,13.844,0.037,12.812,0.029,12.327,0.024,92.1654725091038,20.6180038756102,0.008,0.007,90,3375197025905524224,92.16547428029,0.3402,20.61799336992,0.3254,0.6126,0.3547,0.385,0.527,-2.44,0.447,"false",810.568,7.61092,18.416393,239.106,25.0413,19.404913,1089.03,55.7807,17.16932,2.235594,NA,NA,0,NA,NA,NA,NA,NA,0.103019
"35",227,"SSTGLMC G189.8222+00.3419",189.822224,0.341936,92.167337,20.611463,16.24,0.089,14.967,0.066,14.521,0.061,13.395,0.049,12.857,0.022,92.1673237640656,20.6115104997328,0.012,0.01,90,3375196961482707456,92.16732606784,0.5082,20.61149804344,0.4225,-0.12,0.5613,0.501,0.793,-2.893,0.637,"false",302.878,9.12785,19.485195,125.217,21.8864,20.107233,423.177,36.669,18.195614,1.911619,NA,NA,0,NA,NA,NA,NA,NA,0.176719
"36",244,"SSTGLMC G189.8645+00.4192",189.864579,0.419253,92.261523,20.611891,12.684,0.021,11.953,0.02,11.153,0.018,9.526,0.033,8.931,0.018,92.2615578082806,20.6119199519607,0.001,0.001,90,3375219501471061504,92.26155819839,0.0384,20.61190903713,0.0401,0.408,0.0555,0.085,0.067,-2.535,0.054,"false",35307.2,475.756,14.318706,18616.2,904.754,14.676658,26082.7,1096.01,13.721038,0.95562,NA,NA,0,5359,NA,NA,3.42,8.704,0.156907
"37",254,"SSTGLMC G189.7378+00.3507",189.737798,0.3507,92.131768,20.689543,13.74,0.024,12.515,0.022,11.627,0.018,10.588,0.035,9.775,0.017,92.1318169396667,20.6895943018574,0.004,0.003,90,3375201217793667584,92.13182053608,0.1516,20.68958330369,0.1487,0.122,0.1757,0.781,0.25,-2.554,0.205,"false",1612.35,4.719,17.669718,321.885,19.4504,19.082138,2255.15,35.3222,16.37898,2.703157,NA,NA,0,NA,NA,NA,NA,NA,0.247538
"38",255,"SSTGLMC G189.7515+00.3503",189.751562,0.350325,92.138554,20.677326,13.652,0.029,12.624,0.027,12.059,0.022,11.085,0.035,10.533,0.021,92.1385748087106,20.6772896174372,0.003,0.003,90,3375200466176014336,92.13857712903,0.1202,20.67727806754,0.1261,0.3289,0.1546,0.504,0.21,-2.683,0.171,"false",2243.68,7.62129,17.310965,589.529,25.7864,18.425125,3749.63,130.244,15.826947,2.598178,NA,NA,0,NA,NA,NA,NA,NA,0.14855
"39",259,"SSTGLMC G189.8125+00.4749",189.812501,0.474897,92.28659,20.684402,15.044,0.038,13.946,0.029,13.361,0.03,12.559,0.022,12.1,0.02,92.2866240430294,20.6844221541035,0.01,0.009,90,3375220978939793408,92.28662302735,0.3552,20.68441227172,0.3616,0.4085,0.4619,-0.221,0.659,-2.295,0.567,"false",479.076,2.42537,18.987354,125.765,20.1006,20.10249,801.252,10.7745,17.502497,2.599993,NA,NA,0,NA,NA,NA,NA,NA,0.135683
"40",260,"SSTGLMC G189.7670+00.4654",189.767055,0.465486,92.254257,20.719602,14.941,0.038,13.878,0.034,13.383,0.028,12.998,0.033,12.647,0.032,92.2542879912313,20.71962770955,0.007,0.006,90,3375224204458659840,92.25428633007,0.2563,20.7196183588,0.2438,0.2556,0.2903,-0.361,0.471,-2.172,0.384,"false",984.315,3.38121,18.20553,270.016,7.80466,19.272915,1354.49,12.5332,16.932482,2.340433,NA,NA,0,NA,NA,NA,NA,NA,0.139484
"41",261,"SSTGLMC G189.7049+00.4381",189.704914,0.438106,92.196448,20.760688,15.653,0.057,14.646,0.05,13.816,0.039,12.9,0.027,12.504,0.023,92.1964682777033,20.760704380008,0.008,0.007,90,3375225269611638784,92.19646739307,0.3218,20.76069451867,0.2523,0.4874,0.3677,-0.192,0.521,-2.29,0.47,"false",395.038,19.8568,19.19677,105.229,19.8614,20.29605,584.894,71.5945,17.844227,2.451822,NA,NA,0,NA,NA,NA,NA,NA,0.090203
"42",273,"SSTGLMC G189.4944+00.4184",189.494462,0.418481,92.068845,20.935195,15.091,0.041,14.186,0.04,13.819,0.041,13.032,0.029,12.607,0.023,92.0688628129942,20.9352159097583,0.007,0.005,90,3375277462056877056,92.06886094944,0.2372,20.93520682396,0.234,0.75,0.2666,-0.404,0.42,-2.11,0.346,"false",928.192,6.23557,18.269272,224.522,21.075,19.473242,1222.29,21.8716,17.04399,2.429253,NA,NA,0,NA,NA,NA,NA,NA,0.096195
