#medianL medianB  madL  madB  regDL  regDB  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
134.241 -3.308 0.127 0.122 0.498 0.496 -0.757 0.11 -0.996 0.106 0.401 0.035 107 Per_OB1 0.5 134.0 -3.5 True False
134.29 -2.655 0.087 0.072 0.496 0.493 -0.577 0.184 -0.879 0.161 0.432 0.033 122 Basel_10,Per_OB1 0.5 134.0 -3.0 True False
134.208 -2.192 0.106 0.13 0.497 0.484 -0.793 0.2 -0.726 0.098 0.399 0.044 96 Per_OB1 0.5 134.0 -2.5 True False
134.258 -1.79 0.131 0.112 0.481 0.467 -0.775 0.192 -0.629 0.144 0.389 0.042 105 Per_OB1 0.5 134.0 -2.0 True False
134.329 -0.806 0.122 0.085 0.494 0.486 -0.94 0.177 -0.492 0.097 0.404 0.043 108 COIN-Gaia_36 0.5 134.0 -1.0 True False
134.692 -4.175 0.107 0.111 0.493 0.494 -0.629 0.094 -1.223 0.089 0.387 0.04 177 Per_OB1 0.5 134.5 -4.5 True False
134.65 -3.734 0.084 0.061 0.486 0.455 -0.812 0.184 -0.723 0.099 0.394 0.044 85 NGC_869,Per_OB1 0.5 134.5 -4.0 True False
134.713 -3.724 0.127 0.096 0.481 0.493 -0.492 0.08 -1.146 0.106 0.407 0.036 101 NGC_869,Per_OB1 0.5 134.5 -4.0 True False
134.673 -3.726 0.094 0.072 0.497 0.496 -0.681 0.07 -1.089 0.085 0.398 0.027 742 NGC_869,Per_OB1 0.5 134.5 -4.0 True False
134.834 -3.369 0.108 0.087 0.498 0.487 -0.626 0.124 -1.051 0.092 0.393 0.035 226 Per_OB1 0.5 134.5 -3.5 True False
134.749 -2.245 0.147 0.09 0.499 0.465 -0.461 0.11 -0.769 0.121 0.39 0.045 64 Per_OB1 0.5 134.5 -2.5 True False
134.68 0.119 0.045 0.054 0.472 0.455 -3.514 0.077 0.614 0.101 1.447 0.026 34 Stock_7 0.5 134.5 0.0 True False
135.176 -4.204 0.105 0.123 0.497 0.49 -0.546 0.121 -1.185 0.134 0.392 0.043 90 Per_OB1 0.5 135.0 -4.5 True False
135.123 -3.601 0.081 0.071 0.461 0.475 -0.534 0.196 -0.752 0.064 0.429 0.053 45 NGC_884,Per_OB1 0.5 135.0 -4.0 True False
135.123 -3.606 0.084 0.068 0.304 0.42 -0.419 0.017 -0.884 0.023 0.432 0.042 17 NGC_884,Per_OB1 0.5 135.0 -4.0 True False
135.094 -3.619 0.073 0.059 0.491 0.497 -0.595 0.086 -1.085 0.09 0.403 0.028 400 NGC_884,Per_OB1 0.5 135.0 -4.0 True False
135.24 -3.253 0.082 0.161 0.499 0.479 -0.704 0.177 -0.742 0.11 0.386 0.06 32 Per_OB1 0.5 135.0 -3.5 True False
135.223 -3.35 0.132 0.082 0.499 0.492 -0.505 0.104 -1.042 0.089 0.386 0.032 326 Per_OB1 0.5 135.0 -3.5 True False
135.268 -2.798 0.115 0.105 0.497 0.496 -0.472 0.091 -0.918 0.096 0.403 0.031 81 Per_OB1 0.5 135.0 -3.0 True False
135.212 -1.792 0.092 0.122 0.491 0.499 -0.292 0.15 -0.783 0.19 0.376 0.037 122 unknown 0.5 135.0 -2.0 False True
135.272 -1.292 0.159 0.135 0.483 0.474 -0.061 0.154 -0.734 0.158 0.353 0.032 54 unknown 0.5 135.0 -1.5 False True
135.762 -4.222 0.113 0.105 0.489 0.481 -0.476 0.138 -1.277 0.22 0.397 0.047 79 Per_OB1 0.5 135.5 -4.5 True False
135.739 -3.716 0.115 0.122 0.495 0.455 -0.554 0.126 -1.151 0.103 0.412 0.039 94 Per_OB1 0.5 135.5 -4.0 True False
135.706 -3.242 0.12 0.099 0.499 0.49 -0.43 0.117 -1.086 0.085 0.395 0.027 165 Per_OB1 0.5 135.5 -3.5 True False
135.729 -2.761 0.099 0.1 0.485 0.492 -0.396 0.117 -1.022 0.11 0.394 0.03 141 Per_OB1 0.5 135.5 -3.0 True False
135.738 -2.301 0.122 0.081 0.479 0.495 -0.397 0.124 -0.907 0.082 0.392 0.031 104 Per_OB1 0.5 135.5 -2.5 True False
135.845 0.261 0.021 0.012 0.416 0.356 -0.702 0.04 -0.396 0.069 0.442 0.031 36 Berkeley_65 0.5 135.5 0.0 True False
135.78 1.421 0.068 0.064 0.497 0.474 -1.76 0.079 2.024 0.13 0.882 0.021 68 NGC_1027 0.5 135.5 1.0 True False
135.749 1.586 0.056 0.055 0.474 0.368 -1.73 0.085 2.112 0.091 0.89 0.029 110 NGC_1027 0.5 135.5 1.5 True False
135.652 2.271 0.028 0.055 0.435 0.471 0.568 0.074 -0.181 0.095 0.333 0.022 33 Czernik_13 0.5 135.5 2.0 True False
136.235 -3.739 0.134 0.132 0.498 0.493 -0.268 0.2 -1.071 0.177 0.401 0.056 107 Per_OB1 0.5 136.0 -4.0 True False
136.197 -3.232 0.124 0.127 0.487 0.496 -0.293 0.102 -1.061 0.066 0.412 0.039 82 Per_OB1 0.5 136.0 -3.5 True False
