#medianRA medianDEC  madRA  madDEC  regDRA  regDDEC  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
40.663 61.534 0.077 0.037 0.394 0.189 -1.755 0.076 2.113 0.121 0.885 0.035 63 NGC_1027 0.2 40.4 61.4 True False
40.602 61.679 0.087 0.043 0.394 0.196 -1.715 0.117 2.134 0.135 0.873 0.044 114 NGC_1027 0.2 40.4 61.6 True False
40.986 61.490 0.078 0.041 0.353 0.190 -1.728 0.049 2.100 0.112 0.858 0.043 30 NGC_1027 0.2 40.8 61.4 True False
40.909 61.675 0.070 0.038 0.376 0.194 -1.715 0.107 2.055 0.114 0.885 0.046 45 NGC_1027 0.2 40.8 61.6 True False
41.082 62.322 0.056 0.022 0.392 0.197 0.594 0.080 -0.216 0.086 0.277 0.054 133 Czernik_13 0.2 40.8 62.2 True False
41.442 57.724 0.079 0.053 0.379 0.198 0.151 0.088 -1.071 0.076 0.378 0.038 54 ASCC_9 0.2 41.2 57.6 True False
41.801 57.534 0.081 0.037 0.395 0.195 0.086 0.184 -1.081 0.175 0.384 0.061 56 ASCC_9 0.2 41.6 57.4 True False
41.726 57.730 0.070 0.040 0.377 0.199 0.169 0.093 -1.138 0.071 0.417 0.044 73 ASCC_9 0.2 41.6 57.6 True False
41.857 61.928 0.070 0.048 0.383 0.199 -0.681 0.134 0.169 0.085 0.198 0.090 71 unknown 0.2 41.6 61.8 False True
41.827 63.072 0.102 0.042 0.398 0.197 -0.783 0.108 0.409 0.224 0.204 0.098 93 unknown 0.2 41.6 63.0 False True
42.199 57.316 0.120 0.045 0.391 0.199 0.377 0.111 -1.196 0.148 0.368 0.069 44 unknown 0.2 42.0 57.2 False True
42.218 57.480 0.096 0.058 0.377 0.187 0.278 0.178 -1.083 0.200 0.370 0.074 50 ASCC_9 0.2 42.0 57.4 True False
42.666 60.309 0.087 0.054 0.395 0.197 -0.376 0.178 -0.355 0.172 0.364 0.088 101 IC_1848 0.2 42.4 60.2 True False
42.710 60.459 0.068 0.043 0.387 0.196 -0.490 0.131 -0.237 0.164 0.395 0.062 123 IC_1848 0.2 42.4 60.4 True False
42.640 60.628 0.077 0.023 0.373 0.198 -0.291 0.212 -0.225 0.234 0.401 0.075 40 IC_1848 0.2 42.4 60.6 True False
42.641 60.911 0.089 0.056 0.392 0.187 0.055 0.186 -0.387 0.146 0.422 0.116 31 unknown 0.2 42.4 60.8 False True
42.916 60.475 0.085 0.059 0.376 0.199 -0.292 0.115 -0.280 0.111 0.413 0.050 118 IC_1848 0.2 42.8 60.4 True False
42.960 60.632 0.072 0.023 0.346 0.196 -0.291 0.121 -0.410 0.170 0.399 0.069 46 IC_1848 0.2 42.8 60.6 True False
42.989 62.099 0.099 0.053 0.396 0.198 -0.544 0.222 0.195 0.223 0.182 0.077 124 unknown 0.2 42.8 62.0 False True
43.472 60.658 0.080 0.022 0.369 0.195 -0.095 0.156 -0.333 0.146 0.394 0.096 85 IC_1848 0.2 43.2 60.6 True False
44.643 57.697 0.083 0.048 0.353 0.198 0.670 0.055 -1.201 0.132 0.354 0.052 39 unknown 0.2 44.4 57.6 False True
44.573 60.659 0.108 0.040 0.397 0.195 -0.374 0.245 0.257 0.192 0.386 0.098 83 SAI_24 0.2 44.4 60.6 True False
45.023 57.498 0.079 0.042 0.391 0.181 0.712 0.119 -1.270 0.124 0.396 0.042 54 SAI_25 0.2 44.8 57.4 True False
44.919 60.541 0.065 0.030 0.395 0.191 -0.142 0.115 0.063 0.117 0.421 0.057 93 SAI_24 0.2 44.8 60.4 True False
45.838 57.289 0.105 0.047 0.393 0.183 0.865 0.131 -0.992 0.186 0.364 0.124 39 unknown 0.2 45.6 57.2 False True
46.300 55.905 0.055 0.035 0.354 0.187 -0.314 0.090 0.003 0.107 0.328 0.047 34 unknown 0.2 46.0 55.8 False True
